"BehaviorSpace results (NetLogo 6.2.2)"
"./baby_2.nlogo"
"experiment_test"
"03/06/2022 23:25:17:674 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","ticks_stop","enable_conflict","A_number_citizens","conflict_count_per_cycle","enable_reproduce","A_tough_loose","b","B_tough_loose","B_number_citizens","[step]","count A_citizens","count B_citizens"
"5","300","true","150","4","true","0.3","0.23","0.3","150","18","128","61"
"1","300","true","150","2","true","0.3","0.23","0.3","150","19","135","82"
"6","300","true","150","4","true","0.3","0.23","0.3","250","11","112","237"
"7","300","true","150","4","true","0.5","0.23","0.3","150","15","82","135"
"2","300","true","150","2","true","0.3","0.23","0.3","250","10","150","250"
"1","300","true","150","2","true","0.3","0.23","0.3","150","20","135","82"
"5","300","true","150","4","true","0.3","0.23","0.3","150","19","128","61"
"7","300","true","150","4","true","0.5","0.23","0.3","150","16","82","135"
"3","300","true","150","2","true","0.5","0.23","0.3","150","16","150","150"
"8","300","true","150","4","true","0.5","0.23","0.3","250","11","150","250"
"7","300","true","150","4","true","0.5","0.23","0.3","150","17","82","135"
"6","300","true","150","4","true","0.3","0.23","0.3","250","12","112","237"
"1","300","true","150","2","true","0.3","0.23","0.3","150","21","135","82"
"5","300","true","150","4","true","0.3","0.23","0.3","150","20","128","61"
"4","300","true","150","2","true","0.5","0.23","0.3","250","11","150","250"
"5","300","true","150","4","true","0.3","0.23","0.3","150","21","128","61"
"7","300","true","150","4","true","0.5","0.23","0.3","150","18","82","135"
"3","300","true","150","2","true","0.5","0.23","0.3","150","17","150","150"
"1","300","true","150","2","true","0.3","0.23","0.3","150","22","135","82"
"2","300","true","150","2","true","0.3","0.23","0.3","250","11","150","250"
"5","300","true","150","4","true","0.3","0.23","0.3","150","22","128","61"
"6","300","true","150","4","true","0.3","0.23","0.3","250","13","112","237"
"8","300","true","150","4","true","0.5","0.23","0.3","250","12","150","250"
"4","300","true","150","2","true","0.5","0.23","0.3","250","12","150","250"
"1","300","true","150","2","true","0.3","0.23","0.3","150","23","135","82"
"7","300","true","150","4","true","0.5","0.23","0.3","150","19","82","135"
"5","300","true","150","4","true","0.3","0.23","0.3","150","23","128","61"
"3","300","true","150","2","true","0.5","0.23","0.3","150","18","150","150"
"7","300","true","150","4","true","0.5","0.23","0.3","150","20","82","135"
"1","300","true","150","2","true","0.3","0.23","0.3","150","24","135","82"
"5","300","true","150","4","true","0.3","0.23","0.3","150","24","128","61"
"2","300","true","150","2","true","0.3","0.23","0.3","250","12","150","250"
"3","300","true","150","2","true","0.5","0.23","0.3","150","19","150","150"
"6","300","true","150","4","true","0.3","0.23","0.3","250","14","112","237"
"7","300","true","150","4","true","0.5","0.23","0.3","150","21","82","135"
"1","300","true","150","2","true","0.3","0.23","0.3","150","25","135","82"
"5","300","true","150","4","true","0.3","0.23","0.3","150","25","128","61"
"4","300","true","150","2","true","0.5","0.23","0.3","250","13","150","250"
"8","300","true","150","4","true","0.5","0.23","0.3","250","13","150","250"
"7","300","true","150","4","true","0.5","0.23","0.3","150","22","82","135"
"5","300","true","150","4","true","0.3","0.23","0.3","150","26","128","61"
"1","300","true","150","2","true","0.3","0.23","0.3","150","26","135","82"
"3","300","true","150","2","true","0.5","0.23","0.3","150","20","150","150"
"5","300","true","150","4","true","0.3","0.23","0.3","150","27","128","61"
"7","300","true","150","4","true","0.5","0.23","0.3","150","23","82","135"
"1","300","true","150","2","true","0.3","0.23","0.3","150","27","135","82"
"2","300","true","150","2","true","0.3","0.23","0.3","250","13","150","250"
"6","300","true","150","4","true","0.3","0.23","0.3","250","15","112","237"
"3","300","true","150","2","true","0.5","0.23","0.3","150","21","150","150"
"4","300","true","150","2","true","0.5","0.23","0.3","250","14","150","250"
"5","300","true","150","4","true","0.3","0.23","0.3","150","28","128","61"
"7","300","true","150","4","true","0.5","0.23","0.3","150","24","82","135"
"1","300","true","150","2","true","0.3","0.23","0.3","150","28","135","82"
"8","300","true","150","4","true","0.5","0.23","0.3","250","14","112","237"
"5","300","true","150","4","true","0.3","0.23","0.3","150","29","128","61"
"1","300","true","150","2","true","0.3","0.23","0.3","150","29","135","82"
"3","300","true","150","2","true","0.5","0.23","0.3","150","22","150","150"
"7","300","true","150","4","true","0.5","0.23","0.3","150","25","82","135"
"5","300","true","150","4","true","0.3","0.23","0.3","150","30","128","61"
"1","300","true","150","2","true","0.3","0.23","0.3","150","30","135","82"
"2","300","true","150","2","true","0.3","0.23","0.3","250","14","150","250"
"6","300","true","150","4","true","0.3","0.23","0.3","250","16","112","237"
"7","300","true","150","4","true","0.5","0.23","0.3","150","26","82","135"
"4","300","true","150","2","true","0.5","0.23","0.3","250","15","150","250"
"8","300","true","150","4","true","0.5","0.23","0.3","250","15","112","237"
"5","300","true","150","4","true","0.3","0.23","0.3","150","31","128","61"
"3","300","true","150","2","true","0.5","0.23","0.3","150","23","150","150"
"7","300","true","150","4","true","0.5","0.23","0.3","150","27","82","135"
"1","300","true","150","2","true","0.3","0.23","0.3","150","31","135","82"
"6","300","true","150","4","true","0.3","0.23","0.3","250","17","112","237"
"5","300","true","150","4","true","0.3","0.23","0.3","150","32","121","45"
"7","300","true","150","4","true","0.5","0.23","0.3","150","28","82","135"
"2","300","true","150","2","true","0.3","0.23","0.3","250","15","150","250"
"5","300","true","150","4","true","0.3","0.23","0.3","150","33","121","45"
"4","300","true","150","2","true","0.5","0.23","0.3","250","16","150","250"
"1","300","true","150","2","true","0.3","0.23","0.3","150","32","135","82"
"5","300","true","150","4","true","0.3","0.23","0.3","150","34","121","45"
"7","300","true","150","4","true","0.5","0.23","0.3","150","29","82","135"
"8","300","true","150","4","true","0.5","0.23","0.3","250","16","112","237"
"3","300","true","150","2","true","0.5","0.23","0.3","150","24","82","135"
"6","300","true","150","4","true","0.3","0.23","0.3","250","18","112","237"
"1","300","true","150","2","true","0.3","0.23","0.3","150","33","128","61"
"7","300","true","150","4","true","0.5","0.23","0.3","150","30","82","135"
"5","300","true","150","4","true","0.3","0.23","0.3","150","35","121","45"
"3","300","true","150","2","true","0.5","0.23","0.3","150","25","82","135"
"2","300","true","150","2","true","0.3","0.23","0.3","250","16","150","250"
"8","300","true","150","4","true","0.5","0.23","0.3","250","17","112","237"
"1","300","true","150","2","true","0.3","0.23","0.3","150","34","128","61"
"7","300","true","150","4","true","0.5","0.23","0.3","150","31","82","135"
"5","300","true","150","4","true","0.3","0.23","0.3","150","36","121","45"
"4","300","true","150","2","true","0.5","0.23","0.3","250","17","112","237"
"3","300","true","150","2","true","0.5","0.23","0.3","150","26","82","135"
"1","300","true","150","2","true","0.3","0.23","0.3","150","35","128","61"
"5","300","true","150","4","true","0.3","0.23","0.3","150","37","121","45"
"6","300","true","150","4","true","0.3","0.23","0.3","250","19","112","237"
"7","300","true","150","4","true","0.5","0.23","0.3","150","32","82","135"
"5","300","true","150","4","true","0.3","0.23","0.3","150","38","121","45"
"1","300","true","150","2","true","0.3","0.23","0.3","150","36","128","61"
"3","300","true","150","2","true","0.5","0.23","0.3","150","27","82","135"
"8","300","true","150","4","true","0.5","0.23","0.3","250","18","112","237"
"5","300","true","150","4","true","0.3","0.23","0.3","150","39","121","45"
"6","300","true","150","4","true","0.3","0.23","0.3","250","20","112","237"
"1","300","true","150","2","true","0.3","0.23","0.3","150","37","128","61"
"2","300","true","150","2","true","0.3","0.23","0.3","250","17","150","250"
